Id,Action
1,0.9695
2,0.9945
3,0.9985
4,0.9985
5,0.999
6,0.9995
7,0.987
8,0.9995
9,0.9215
10,0.9965
11,0.8995
12,1.0
13,0.943
14,0.9765
15,0.997
16,0.9465
17,0.942
18,0.9975
19,0.9975
20,0.9945
21,1.0
22,0.9975
23,0.983
24,0.9815
25,0.9975
26,0.9655
27,0.967
28,0.99
29,0.995
30,0.959
31,0.9965
32,0.997
33,0.9945
34,0.9915
35,0.993
36,0.9995
37,0.996
38,0.992
39,0.971
40,0.9015
41,0.9715
42,0.9915
43,0.997
44,0.999
45,0.993
46,0.9815
47,0.9995
48,0.999
49,1.0
50,0.9695
51,0.97
52,0.999
53,0.9965
54,1.0
55,0.9305
56,0.9965
57,0.9975
58,0.999
59,0.958
60,0.9345
61,1.0
62,0.9955
63,0.9885
64,1.0
65,0.9945
66,0.994
67,0.95
68,0.9995
69,0.9595
70,0.5505
71,0.98
72,0.992
73,1.0
74,0.9955
75,0.999
76,0.9995
77,0.991
78,0.88
79,0.3855
80,1.0
81,0.9775
82,0.999
83,0.96
84,0.994
85,0.999
86,0.998
87,0.994
88,0.998
89,0.9975
90,0.633
91,0.9875
92,0.4225
93,0.9955
94,0.99
95,0.9825
96,0.9785
97,0.212
98,0.928
99,1.0
100,0.995
101,0.8685
102,0.927
103,0.999
104,0.9945
105,0.5905
106,0.997
107,0.998
108,0.991
109,0.999
110,0.9725
111,0.431
112,0.9905
113,0.9815
114,0.9755
115,0.9975
116,0.997
117,0.9955
118,0.996
119,0.9965
120,0.993
121,0.9795
122,0.9975
123,0.996
124,0.9645
125,0.9985
126,0.97
127,0.986
128,0.928
129,0.979
130,0.8265
131,1.0
132,0.998
133,0.949
134,0.9965
135,0.9985
136,0.9925
137,0.9925
138,0.99
139,0.8065
140,1.0
141,0.998
142,0.976
143,1.0
144,0.984
145,0.9985
146,0.7485
147,0.985
148,0.9785
149,0.999
150,0.9995
151,0.9955
152,0.536
153,0.996
154,0.993
155,0.9985
156,0.987
157,0.943
158,0.994
159,0.7535
160,0.998
161,0.9415
162,0.9955
163,0.9865
164,0.9795
165,1.0
166,0.99
167,0.966
168,0.928
169,0.971
170,0.997
171,0.997
172,0.985
173,0.9995
174,0.991
175,0.967
176,0.988
177,0.921
178,0.9975
179,0.999
180,0.9915
181,0.788
182,0.976
183,0.872
184,0.819
185,0.9935
186,0.997
187,0.9985
188,0.9775
189,0.6955
190,0.9945
191,0.9995
192,0.985
193,1.0
194,0.9905
195,0.999
196,0.9995
197,0.9945
198,0.99
199,0.995
200,0.244
201,0.992
202,0.9085
203,0.9925
204,0.9815
205,0.9475
206,0.983
207,0.996
208,0.989
209,0.422
210,0.5565
211,0.9935
212,0.955
213,1.0
214,0.994
215,0.9975
216,0.9955
217,0.995
218,0.9795
219,1.0
220,0.991
221,0.77
222,0.9995
223,0.997
224,0.969
225,0.997
226,0.8745
227,0.9275
228,0.997
229,0.999
230,0.991
231,0.9685
232,0.821
233,0.9735
234,0.189
235,0.995
236,0.787
237,0.9995
238,0.9145
239,0.9765
240,0.9985
241,0.996
242,0.6625
243,0.2405
244,0.993
245,0.997
246,0.983
247,0.9755
248,0.988
249,0.988
250,0.9985
251,0.9535
252,0.6855
253,0.9815
254,0.999
255,1.0
256,0.985
257,0.997
258,0.8835
259,0.9985
260,0.999
261,0.973
262,0.9935
263,0.998
264,0.9995
265,0.996
266,0.9825
267,0.998
268,0.997
269,0.9955
270,1.0
271,0.9945
272,0.933
273,1.0
274,0.271
275,0.9995
276,0.968
277,0.9635
278,0.9995
279,0.9565
280,0.9705
281,1.0
282,0.975
283,0.9725
284,0.936
285,0.998
286,0.9685
287,0.996
288,0.999
289,0.9995
290,0.998
291,0.8085
292,0.4455
293,0.985
294,0.973
295,0.9975
296,0.082
297,0.2995
298,1.0
299,0.936
300,0.996
301,0.9
302,0.9995
303,0.7895
304,0.96
305,0.996
306,0.9995
307,1.0
308,1.0
309,0.998
310,0.9955
311,0.9925
312,0.9865
313,0.9995
314,0.9855
315,0.9955
316,0.997
317,0.9405
318,0.9985
319,0.9925
320,1.0
321,0.9975
322,0.0915
323,0.999
324,0.9865
325,0.987
326,0.6965
327,1.0
328,0.9995
329,0.983
330,0.973
331,0.9995
332,0.9995
333,0.9635
334,0.982
335,1.0
336,0.939
337,0.996
338,1.0
339,1.0
340,0.9625
341,0.986
342,0.9905
343,0.919
344,1.0
345,0.9805
346,0.9085
347,0.996
348,0.9925
349,0.986
350,0.7295
351,0.996
352,0.9985
353,0.9965
354,0.4405
355,0.981
356,0.999
357,0.9665
358,0.984
359,0.993
360,0.592
361,0.9855
362,0.994
363,0.9995
364,0.9535
365,1.0
366,0.9955
367,0.9925
368,0.995
369,0.9855
370,1.0
371,1.0
372,0.9465
373,0.951
374,0.1465
375,0.9835
376,0.989
377,0.511
378,0.986
379,0.9995
380,0.9405
381,0.653
382,0.998
383,0.9995
384,0.9215
385,0.8775
386,1.0
387,0.8465
388,0.874
389,0.9995
390,0.998
391,0.9875
392,0.9805
393,0.994
394,0.9995
395,0.9685
396,1.0
397,0.9995
398,0.9955
399,0.988
400,0.9905
401,0.984
402,0.991
403,0.9965
404,0.674
405,0.998
406,0.9665
407,0.985
408,0.995
409,0.9945
410,1.0
411,0.995
412,0.9115
413,0.9805
414,0.9805
415,0.9955
416,0.9655
417,1.0
418,0.9915
419,0.9715
420,0.995
421,0.9985
422,0.9945
423,0.96
424,0.9315
425,0.997
426,0.9975
427,0.9875
428,0.9985
429,0.8685
430,1.0
431,0.9995
432,0.9145
433,0.9775
434,0.995
435,0.9785
436,0.9985
437,0.956
438,0.104
439,0.9115
440,0.1265
441,0.9955
442,0.995
443,0.98
444,1.0
445,0.9505
446,0.9995
447,0.966
448,0.9965
449,0.9995
450,0.979
451,0.9295
452,0.9995
453,0.9985
454,0.745
455,0.9695
456,0.9995
457,0.9975
458,0.933
459,1.0
460,0.1785
461,0.4385
462,1.0
463,0.9965
464,0.994
465,0.9995
466,0.999
467,0.121
468,0.9365
469,0.9925
470,0.998
471,0.9935
472,0.98
473,1.0
474,0.994
475,0.991
476,0.975
477,0.997
478,0.995
479,0.9875
480,1.0
481,0.9915
482,0.988
483,0.9995
484,0.999
485,0.998
486,0.997
487,0.983
488,0.9895
489,0.999
490,0.992
491,0.9985
492,0.999
493,0.8955
494,1.0
495,0.996
496,1.0
497,0.9985
498,0.998
499,0.992
500,0.9975
501,0.9925
502,0.411
503,0.996
504,0.999
505,0.739
506,0.996
507,0.9975
508,0.988
509,0.98
510,0.189
511,0.987
512,0.982
513,0.99
514,0.9085
515,0.9985
516,0.993
517,0.9925
518,0.97
519,0.9925
520,0.566
521,0.9985
522,0.947
523,0.9945
524,0.1565
525,0.9935
526,0.5145
527,0.9615
528,0.9935
529,0.943
530,0.989
531,0.9835
532,0.9915
533,0.9885
534,0.983
535,0.9965
536,0.9995
537,0.9945
538,0.976
539,0.9235
540,1.0
541,0.984
542,0.997
543,0.36
544,0.9675
545,0.9005
546,0.9995
547,0.4255
548,0.99
549,0.971
550,0.9945
551,0.997
552,0.989
553,0.996
554,0.9555
555,0.9875
556,0.992
557,0.998
558,0.9955
559,0.994
560,0.988
561,0.965
562,0.9855
563,0.989
564,0.936
565,0.998
566,0.8275
567,0.9565
568,0.963
569,0.9995
570,0.9975
571,0.605
572,0.999
573,0.824
574,0.9285
575,0.997
576,0.9975
577,0.9915
578,0.991
579,0.8265
580,0.9595
581,1.0
582,0.9845
583,0.9955
584,0.9925
585,0.995
586,0.7605
587,0.9965
588,0.9665
589,0.9855
590,0.995
591,0.9985
592,0.992
593,0.9485
594,0.9755
595,1.0
596,0.9835
597,0.99
598,0.9965
599,0.9495
600,0.9925
601,0.9845
602,0.9985
603,1.0
604,0.9535
605,0.995
606,0.996
607,0.9965
608,0.974
609,0.964
610,0.9625
611,0.996
612,0.9675
613,0.9195
614,0.252
615,1.0
616,0.7255
617,0.9925
618,0.903
